country,iso3,year,population,life_expectancy,inflation_rate,NY.GDP.PCAP.CD
Austria,AUT,1960,7047539,68.5856097560976,1.94574935198645,939.914814681174
Austria,AUT,1961,7086299,69.5773170731707,3.54223986727562,1036.72820436083
Austria,AUT,1962,7129864,69.309512195122,4.38179863851182,1093.01419061569
Austria,AUT,1963,7175811,69.4436585365854,2.70876699499822,1172.55744626178
Austria,AUT,1964,7223801,69.9219512195122,3.86856354936629,1275.45715281679
Austria,AUT,1965,7270889,69.7221951219512,4.93091637676273,1381.07725824421
Austria,AUT,1966,7322066,70.0458536585366,2.05482059257981,1494.04911382106
Austria,AUT,1967,7376998,69.9178048780488,3.97467292898837,1577.14147705169
Austria,AUT,1968,7415403,70.0575609756098,2.76486447339763,1685.66211669148
Austria,AUT,1969,7441055,69.8331707317073,3.08040419539536,1834.0780781796
Austria,AUT,1970,7467086,69.9146341463415,4.37282441582134,2050.7051537705
Austria,AUT,1971,7500482,70.1146341463415,4.70425813828695,2371.65247955003
Austria,AUT,1972,7544201,70.4634146341463,6.35514612686787,2912.59577111524
Austria,AUT,1973,7586115,71.0146341463415,7.53107803827119,3875.48305618551
Austria,AUT,1974,7599038,71.0121951219512,9.52178819742244,4612.61920779656
Austria,AUT,1975,7578903,71.1146341463415,8.44525863917963,5264.91772004051
Austria,AUT,1976,7565525,71.5658536585366,7.31868545106923,5656.1451383787
Austria,AUT,1977,7568430,71.9146341463415,5.49461568127671,6783.95142193665
Austria,AUT,1978,7562305,72.0121951219512,3.57431857551213,8173.32926347245
Austria,AUT,1979,7549425,72.3121951219512,3.70740096353414,9755.4044562579
Austria,AUT,1980,7549433,72.4634146341463,6.32832536226103,10826.9718274995
Austria,AUT,1981,7568710,72.8121951219512,6.80304177599254,9348.48832395232
Austria,AUT,1982,7574140,72.9609756097561,5.43603082512851,9373.48820626125
Austria,AUT,1983,7561910,73.0121951219512,3.33916453409535,9500.05070417494
Austria,AUT,1984,7561434,73.6121951219512,5.66318573909344,8955.84829191534
Austria,AUT,1985,7564985,73.8146341463415,3.18951681805194,9136.17092559695
Austria,AUT,1986,7569794,74.3170731707317,1.70544456731966,13031.8281010744
Austria,AUT,1987,7574586,74.7682926829268,1.40195271783983,16328.5613047296
Austria,AUT,1988,7585317,75.2170731707317,1.91571684671249,17509.7658683817
Austria,AUT,1989,7619567,75.2658536585366,2.56834829029371,17400.5226619741
Austria,AUT,1990,7677850,75.5682926829269,3.26187231878573,21596.068219998
Austria,AUT,1991,7754891,75.6170731707317,3.33742703474791,22323.1312492943
Austria,AUT,1992,7840709,75.8170731707317,4.02084780038554,24782.7118767063
Austria,AUT,1993,7905633,76.0682926829268,3.6317852494318,23987.2037240657
Austria,AUT,1994,7936118,76.419512195122,2.9534093676108,25546.2460525087
Austria,AUT,1995,7948278,76.6682926829268,2.24336631500898,30207.0674314652
Austria,AUT,1996,7959017,76.8707317073171,1.86097115760436,29645.9451251491
Austria,AUT,1997,7968041,77.319512195122,1.30597857227691,26571.7523626508
Austria,AUT,1998,7976789,77.6707317073171,0.922467196680849,27212.4642905708
Austria,AUT,1999,7992324,77.8756097560976,0.56899376588553,27078.7081612201
Austria,AUT,2000,8011566,78.1268292682927,2.3448628535728,24487.2974685956
Austria,AUT,2001,8042293,78.5756097560976,2.65000077279529,24430.495982841
Austria,AUT,2002,8081957,78.6780487804878,1.81035787764128,26334.862215032
Austria,AUT,2003,8121423,78.6317073170732,1.35555370896445,32110.1159661425
Austria,AUT,2004,8171966,79.1804878048781,2.06120618032869,36614.2506533707
Austria,AUT,2005,8227829,79.3317073170732,2.29913785639285,38157.37022862
Austria,AUT,2006,8268641,79.8804878048781,1.44154851119016,40382.2078298575
Austria,AUT,2007,8295487,80.1804878048781,2.16855528800756,46622.9622913635
Austria,AUT,2008,8321496,80.4317073170732,3.21595033239879,51581.3982361071
Austria,AUT,2009,8343323,80.3317073170732,0.506308827696504,47857.4446635266
Austria,AUT,2010,8363404,80.5804878048781,1.81353438995061,46611.1393420232
Austria,AUT,2011,8391643,80.9829268292683,3.2865791487538,51116.8953522042
Austria,AUT,2012,8429991,80.9365853658537,2.48567562177014,48250.4059142637
Austria,AUT,2013,8479823,81.1365853658537,2.00015616900597,50305.3545774973
Austria,AUT,2014,8546356,81.490243902439,1.60581182954473,51314.9722616322
Austria,AUT,2015,8642699,81.190243902439,0.896563335260319,43915.228020857
Austria,AUT,2016,8736668,81.6414634146342,0.891591752655362,45061.4993920192
Austria,AUT,2017,8797566,81.6439024390244,2.08126911385586,47163.7425775142
Austria,AUT,2018,8840521,81.6926829268293,1.99837981429548,51194.0749841299
Austria,AUT,2019,8879920,81.8951219512195,1.53089564152643,49885.9947355204
Austria,AUT,2020,8916864,81.1926829268293,1.38191063351853,48716.4098900349
Austria,AUT,2021,8955797,81.190243902439,2.7666666666667,53648.6437976214
Austria,AUT,2022,9041851,81.2951219512195,8.54686993188457,52336.7725223758
Austria,AUT,2023,9131761,81.7926829268293,7.81413417002831,56579.504175468
Austria,AUT,2024,9177982,81.9951219512195,2.93791574279375,58268.8787651601
Belgium,BEL,1960,9153489,69.7019512195122,0.299467254769694,1290.28607216192
Belgium,BEL,1961,9183948,70.5209756097561,0.992676260767274,1367.78885228138
Belgium,BEL,1962,9220578,70.219512195122,1.40460703543514,1457.26516998378
Belgium,BEL,1963,9289770,70.0514634146342,2.14800341332196,1555.02293182578
Belgium,BEL,1964,9378113,70.7551219512195,4.16876058564364,1724.01894179056
Belgium,BEL,1965,9463667,70.6253658536586,4.06520137474655,1859.50998671639
Belgium,BEL,1966,9527807,70.7063414634146,4.17434761853,1983.13119821777
Belgium,BEL,1967,9580991,71.0129268292683,2.73030268590901,2113.82194132888
Belgium,BEL,1968,9618756,70.6931707317073,2.70144982931354,2251.31575906782
Belgium,BEL,1969,9646032,70.7648780487805,3.75399229053284,2490.1071730838
Belgium,BEL,1970,9655549,70.9719512195122,3.90847238471904,2765.89099664794
Belgium,BEL,1971,9673162,71.0604878048781,4.34362854612101,3082.92798879126
Belgium,BEL,1972,9711115,71.4051219512195,5.44843128438075,3831.63189999433
Belgium,BEL,1973,9741720,71.6353658536586,6.95528008719914,4900.96220075866
Belgium,BEL,1974,9772419,71.9858536585366,12.6778877513451,5733.79813933878
Belgium,BEL,1975,9800700,71.9712195121951,12.7681985920515,6701.37736052433
Belgium,BEL,1976,9818227,72.119756097561,9.06860981054961,7243.04734119583
Belgium,BEL,1977,9830358,72.7739024390244,7.09600059132598,8426.94695947372
Belgium,BEL,1978,9839534,72.6980487804878,4.47059331592944,10289.7684173296
Belgium,BEL,1979,9848382,73.1936585365854,4.46908394900486,11810.6158754725
Belgium,BEL,1980,9859242,73.2070731707317,6.64868829655352,12864.0025661396
Belgium,BEL,1981,9858982,73.6217073170732,7.62748656814271,10622.8024830789
Belgium,BEL,1982,9856303,73.8880487804878,8.72654906555471,9343.86109959618
Belgium,BEL,1983,9855520,73.8690243902439,7.66160983743882,8846.23429846974
Belgium,BEL,1984,9855372,74.4048780487805,6.34177491009127,8457.26880316374
Belgium,BEL,1985,9858308,74.520243902439,4.8687339949694,8750.81851250536
Belgium,BEL,1986,9861823,74.7317073170732,1.2943681910248,12170.0406962702
Belgium,BEL,1987,9870234,75.3658536585366,1.55338261314945,15135.8523116968
Belgium,BEL,1988,9901664,75.5658536585366,1.16093493415331,16391.093827791
Belgium,BEL,1989,9937697,75.6326829268293,3.10705065111093,16525.0617432848
Belgium,BEL,1990,9967379,76.0519512195122,3.44831217961807,20600.3752789827
Belgium,BEL,1991,10004486,76.1921951219512,3.21531069260809,21041.6606519648
Belgium,BEL,1992,10045158,76.3512195121951,2.42795567164615,23372.619171015
Belgium,BEL,1993,10084475,76.3453658536585,2.75442643473462,22283.9360213551
Belgium,BEL,1994,10115603,76.6917073170732,2.377540844764,24208.5547931447
Belgium,BEL,1995,10136811,76.8407317073171,1.46796699090271,28413.8264387368
Belgium,BEL,1996,10156637,77.1873170731707,2.07702107350675,27489.5551770488
Belgium,BEL,1997,10181245,77.3707317073171,1.62816049512954,24820.9380503896
Belgium,BEL,1998,10203008,77.4731707317073,0.94925028835061,25338.4432934904
Belgium,BEL,1999,10226419,77.619512195122,1.12084823417847,25252.8019066564
Belgium,BEL,2000,10251250,77.7219512195122,2.544517761909,23098.8865077401
Belgium,BEL,2001,10286570,77.9731707317073,2.46925823086082,23015.0712632462
Belgium,BEL,2002,10332785,78.0756097560976,1.6452143617536,25006.191397109
Belgium,BEL,2003,10376133,78.1292682926829,1.58896399970371,30655.2092679024
Belgium,BEL,2004,10421137,78.8780487804878,2.09728311239315,35429.4077933344
Belgium,BEL,2005,10478617,78.9804878048781,2.78143263670029,36809.7013403619
Belgium,BEL,2006,10547958,79.380487804878,1.79120770070453,38705.1067959147
Belgium,BEL,2007,10625700,79.7829268292683,1.82305630026809,44319.165448813
Belgium,BEL,2008,10709973,79.6804878048781,4.48944420508404,48303.397956286
Belgium,BEL,2009,10796493,80.0341463414634,-0.0531456741254176,44923.3400135081
Belgium,BEL,2010,10895586,80.1829268292683,2.18929920422458,44197.393671162
Belgium,BEL,2011,11038264,80.5853658536585,3.5320821072274,47760.8298776546
Belgium,BEL,2012,11106932,80.3853658536585,2.83966343445899,44874.1709182123
Belgium,BEL,2013,11159407,80.5878048780488,1.11309594027539,46964.5946777056
Belgium,BEL,2014,11209057,81.2878048780488,0.340002833356921,47995.7786961339
Belgium,BEL,2015,11274196,80.9926829268293,0.561429152790157,40893.804537772
Belgium,BEL,2016,11331422,81.4390243902439,1.97385264653162,41854.5498296444
Belgium,BEL,2017,11375158,81.4926829268293,2.12597086002616,44035.3239358548
Belgium,BEL,2018,11427054,81.5951219512195,2.05316499865177,47487.2100392561
Belgium,BEL,2019,11488980,81.9951219512195,1.43681956996438,46716.6227467964
Belgium,BEL,2020,11538604,80.6951219512195,0.740791812220343,45906.2875805246
Belgium,BEL,2021,11586195,81.790243902439,2.44024851144084,51658.238294958
Belgium,BEL,2022,11680210,81.7487804878049,9.597511728725,50605.7496677086
Belgium,BEL,2023,11779946,82.4,4.04901077613941,55291.4754541329
Belgium,BEL,2024,11858610,82.3,3.14349136500041,56614.5679499036
Switzerland,CHE,1960,5327827,71.3134146341463,1.43879470321087,1954.3113206427
Switzerland,CHE,1961,5434294,71.6448780487805,1.84539787448657,2155.44996908648
