mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,modell
18,8,307,130,3504,12,70,1,0000,chevrolet chevelle malibu
15,8,350,165,3693,11.5,70,1,0000,buick skylark 320
18,8,318,150,3436,11,70,1,0000,plymouth satellite
16,8,304,150,3433,12,70,1,0000,amc rebel sst
17,8,302,140,3449,10.5,70,1,0000,ford torino
15,8,429,198,4341,10,70,1,0000,ford galaxie 500
14,8,454,220,4354,9,70,1,0000,chevrolet impala
14,8,440,215,4312,8.5,70,1,0000,plymouth fury iii
14,8,455,225,4425,10,70,1,0000,pontiac catalina
15,8,390,190,3850,8.5,70,1,0000,amc ambassador dpl
15,8,383,170,3563,10,70,1,0000,dodge challenger se
14,8,340,160,3609,8,70,1,0000,plymouth 'cuda 340
15,8,400,150,3761,9.5,70,1,0000,chevrolet monte carlo
14,8,455,225,3086,10,70,1,0000,buick estate wagon (sw)
24,4,113,95,2372,15,70,3,0000,toyota corona mark ii
22,6,198,95,2833,15.5,70,1,0000,plymouth duster
18,6,199,97,2774,15.5,70,1,0000,amc hornet
21,6,200,85,2587,16,70,1,0000,ford maverick
27,4,97,88,2130,14.5,70,3,0000,datsun pl510
26,4,97,46,1835,20.5,70,2,0000,volkswagen 1131 deluxe sedan
25,4,110,87,2672,17.5,70,2,0000,peugeot 504
24,4,107,90,2430,14.5,70,2,0000,audi 100 ls
25,4,104,95,2375,17.5,70,2,0000,saab 99e
26,4,121,113,2234,12.5,70,2,0000,bmw 2002
21,6,199,90,2648,15,70,1,0000,amc gremlin
10,8,360,215,4615,14,70,1,0000,ford f250
10,8,307,200,4376,15,70,1,0000,chevy c20
11,8,318,210,4382,13.5,70,1,0000,dodge d200
9,8,304,193,4732,18.5,70,1,0000,hi 1200d
27,4,97,88,2130,14.5,71,3,0000,datsun pl510
28,4,140,90,2264,15.5,71,1,0000,chevrolet vega 2300
25,4,113,95,2228,14,71,3,0000,toyota corona
25,4,98,90,2046,19,71,1,0000,ford pinto
19,6,232,100,2634,13,71,1,0000,amc gremlin
16,6,225,105,3439,15.5,71,1,0000,plymouth satellite custom
17,6,250,100,3329,15.5,71,1,0000,chevrolet chevelle malibu
19,6,250,88,3302,15.5,71,1,0000,ford torino 500
18,6,232,100,3288,15.5,71,1,0000,amc matador
14,8,350,165,4209,12,71,1,0000,chevrolet impala
14,8,400,175,4464,11.5,71,1,0000,pontiac catalina brougham
14,8,351,153,4154,13.5,71,1,0000,ford galaxie 500
14,8,318,150,4096,13,71,1,0000,plymouth fury iii
12,8,383,180,4955,11.5,71,1,0000,dodge monaco (sw)
13,8,400,170,4746,12,71,1,0000,ford country squire (sw)
13,8,400,175,5140,12,71,1,0000,pontiac safari (sw)
18,6,258,110,2962,13.5,71,1,0000,amc hornet sportabout (sw)
22,4,140,72,2408,19,71,1,0000,chevrolet vega (sw)
19,6,250,100,3282,15,71,1,0000,pontiac firebird
18,6,250,88,3139,14.5,71,1,0000,ford mustang
23,4,122,86,2220,14,71,1,0000,mercury capri 2000
28,4,116,90,2123,14,71,2,0000,opel 1900
30,4,79,70,2074,19.5,71,2,0000,peugeot 304
30,4,88,76,2065,14.5,71,2,0000,fiat 124b
31,4,71,65,1773,19,71,3,0000,toyota corolla 1200
35,4,72,69,1613,18,71,3,0000,datsun 1200
27,4,97,60,1834,19,71,2,0000,volkswagen model 111
26,4,91,70,1955,20.5,71,1,0000,plymouth cricket
